GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Zoo04Lab,edu.nwmissouri.zoo04lab,DalmatianGroup,54,0,0,0,16,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Glyptodon,55,25,0,0,14,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,HarpSeal,0,78,0,0,0,26,0,9,0,9
Zoo04Lab,edu.nwmissouri.zoo04lab,ZooApp,478,0,69,0,259,0,66,0,2,0
Zoo04Lab,edu.nwmissouri.zoo04lab,GriffinGroup,5,72,1,3,1,16,2,5,1,4
Zoo04Lab,edu.nwmissouri.zoo04lab,SiberianTigerGroup,56,0,0,0,17,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Abyssinian.RANK,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,KoalaGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,MagicMonth,75,0,0,0,13,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,PantheraGroup,3,58,0,2,1,15,1,3,1,2
Zoo04Lab,edu.nwmissouri.zoo04lab,RelayHorse,15,56,0,0,6,12,1,5,1,5
Zoo04Lab,edu.nwmissouri.zoo04lab,WalrusGroup,15,67,4,1,7,21,5,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ZooCheckFiles,206,0,12,0,55,0,16,0,10,0
Zoo04Lab,edu.nwmissouri.zoo04lab,CheetahGroup,3,55,0,0,1,17,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,Cheetah,26,60,0,0,10,14,1,6,1,6
Zoo04Lab,edu.nwmissouri.zoo04lab,ElephantBird,55,25,0,0,14,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,Animal,15,15,0,0,7,6,4,2,4,2
Zoo04Lab,edu.nwmissouri.zoo04lab,Floppy.Planet,51,0,0,0,9,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Lion.RECORD,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,StringRay,62,21,2,0,12,9,3,5,2,5
Zoo04Lab,edu.nwmissouri.zoo04lab,Frog.RACE,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Liger,12,37,0,0,5,9,1,5,1,5
Zoo04Lab,edu.nwmissouri.zoo04lab,ColorsOfLeafs,27,0,0,0,5,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Lioness,22,45,0,2,7,13,1,6,1,5
Zoo04Lab,edu.nwmissouri.zoo04lab,Frog,73,0,0,0,29,0,10,0,10,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Lioness.EatableType,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,DuckGroup,3,53,0,0,1,16,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ZooIndexController,301,0,61,0,198,0,64,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Xraytetra.Days,45,0,0,0,8,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,LionGroup,3,55,0,0,1,17,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,MightyLionGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,Abyssinian,52,0,0,0,23,0,7,0,7,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Cheetah.RANK,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,GoatGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,UnicornGroup,3,54,0,0,1,16,1,3,1,3
